dataset	type	accession
Bacteria	assembly	GCA_016028855.1
Bacteria	assembly	GCA_016128215.1
Bacteria	assembly	GCA_016728005.1
Bacteria	assembly	GCA_016889925.1
Bacteria	assembly	GCA_016904295.1
Bacteria	assembly	GCA_019048145.1
Bacteria	assembly	GCA_020097395.1
Bacteria	assembly	GCA_020736225.1
Bacteria	assembly	GCA_001558355.2
Bacteria	assembly	GCA_002208765.2
Bacteria	assembly	GCA_002591255.1
Bacteria	assembly	GCA_003812065.1
Bacteria	assembly	GCA_006364675.1
Bacteria	assembly	GCA_009730395.1
Bacteria	assembly	GCA_016026335.1
Bacteria	assembly	GCA_016126915.1
Bacteria	assembly	GCA_016128235.1
Bacteria	assembly	GCA_016728025.1
Bacteria	assembly	GCA_016889945.1
Bacteria	assembly	GCA_016904315.1
Bacteria	assembly	GCA_019048165.1
Bacteria	assembly	GCA_020097415.1
Bacteria	assembly	GCA_020736245.1
Bacteria	assembly	GCA_001558375.2
Bacteria	assembly	GCA_002208785.2
Bacteria	assembly	GCA_002591275.1
Bacteria	assembly	GCA_003812085.1
Bacteria	assembly	GCA_006364695.1
Bacteria	assembly	GCA_009730415.1
Bacteria	assembly	GCA_016026375.1
Bacteria	assembly	GCA_016126935.1
Bacteria	assembly	GCA_016128255.1
Bacteria	assembly	GCA_016728045.1
Bacteria	assembly	GCA_016889965.1
Bacteria	assembly	GCA_016904335.1
Bacteria	assembly	GCA_019048185.1
Bacteria	assembly	GCA_020097435.1
Bacteria	assembly	GCA_020736265.1
Bacteria	assembly	GCA_001558395.2
Bacteria	assembly	GCA_002208805.2
Bacteria	assembly	GCA_002591295.1
Bacteria	assembly	GCA_003812105.1
Bacteria	assembly	GCA_006364735.1
Bacteria	assembly	GCA_009730435.1
Bacteria	assembly	GCA_016026395.1
Bacteria	assembly	GCA_016126955.1
Bacteria	assembly	GCA_016128275.1
Bacteria	assembly	GCA_016728065.1
Bacteria	assembly	GCA_016889985.1
Bacteria	assembly	GCA_016904355.1
Bacteria	assembly	GCA_019048225.1
Bacteria	assembly	GCA_020097455.1
Bacteria	assembly	GCA_021183565.1
Bacteria	assembly	GCA_001558415.2
Bacteria	assembly	GCA_002208825.2
Bacteria	assembly	GCA_002754815.1
Bacteria	assembly	GCA_003812125.1
Bacteria	assembly	GCA_006364755.1
Bacteria	assembly	GCA_009730455.1
Bacteria	assembly	GCA_016026415.1
Bacteria	assembly	GCA_016126975.1
Bacteria	assembly	GCA_016403145.1
Bacteria	assembly	GCA_016728085.1
Bacteria	assembly	GCA_016890005.1
Bacteria	assembly	GCA_016904375.1
Bacteria	assembly	GCA_019048245.1
Bacteria	assembly	GCA_020097475.1
Bacteria	assembly	GCA_021183585.1
Bacteria	assembly	GCA_001558435.2
Bacteria	assembly	GCA_002208845.2
Bacteria	assembly	GCA_002943995.1
Bacteria	assembly	GCA_003812145.1
Bacteria	assembly	GCA_006364775.1
Bacteria	assembly	GCA_009730475.1
Bacteria	assembly	GCA_016026535.1
Bacteria	assembly	GCA_016126995.1
Bacteria	assembly	GCA_016598875.1
Bacteria	assembly	GCA_016728105.1
Bacteria	assembly	GCA_016890025.1
Bacteria	assembly	GCA_016904395.1
Bacteria	assembly	GCA_019048265.1
Bacteria	assembly	GCA_020097495.1
Bacteria	assembly	GCA_021183605.1
Bacteria	assembly	GCA_001558475.2
Bacteria	assembly	GCA_002208865.2
Bacteria	assembly	GCA_002944935.1
Bacteria	assembly	GCA_003812165.1
Bacteria	assembly	GCA_006364795.1
Bacteria	assembly	GCA_009730495.1
Bacteria	assembly	GCA_016026555.1
Bacteria	assembly	GCA_016127015.1
Bacteria	assembly	GCA_016599755.1
Bacteria	assembly	GCA_016728205.1
Bacteria	assembly	GCA_016890045.1
Bacteria	assembly	GCA_016904415.1
Bacteria	assembly	GCA_019048285.1
Bacteria	assembly	GCA_020097615.1
Bacteria	assembly	GCA_021183625.1
Bacteria	assembly	GCA_001558495.2
Bacteria	assembly	GCA_002208885.2
Bacteria	assembly	GCA_002944995.1
Bacteria	assembly	GCA_003812185.1
Bacteria	assembly	GCA_006364815.1
Bacteria	assembly	GCA_009730515.1
Bacteria	assembly	GCA_016026575.1
Bacteria	assembly	GCA_016127035.1
Bacteria	assembly	GCA_016599775.1
Bacteria	assembly	GCA_016728365.1
Bacteria	assembly	GCA_016890065.1
Bacteria	assembly	GCA_016904435.1
Bacteria	assembly	GCA_019048305.1
Bacteria	assembly	GCA_020097655.1
Bacteria	assembly	GCA_021183645.1
Bacteria	assembly	GCA_001558515.2
Bacteria	assembly	GCA_002208905.2
Bacteria	assembly	GCA_002951115.1
Bacteria	assembly	GCA_003812205.1
Bacteria	assembly	GCA_006365335.1
Bacteria	assembly	GCA_009730535.1
Bacteria	assembly	GCA_016026595.1
Bacteria	assembly	GCA_016127055.1
Bacteria	assembly	GCA_016599795.1
Bacteria	assembly	GCA_016728505.1
Bacteria	assembly	GCA_016890085.1
Bacteria	assembly	GCA_016904455.1
Bacteria	assembly	GCA_019048325.1
Bacteria	assembly	GCA_020099175.1
Bacteria	assembly	GCA_021183665.1
Bacteria	assembly	GCA_001558735.2
Bacteria	assembly	GCA_002208925.2
Bacteria	assembly	GCA_002951195.1
Bacteria	assembly	GCA_003812225.1
Bacteria	assembly	GCA_008693365.1
Bacteria	assembly	GCA_009730555.1
Bacteria	assembly	GCA_016026615.1
Bacteria	assembly	GCA_016127075.1
Bacteria	assembly	GCA_016599815.1
Bacteria	assembly	GCA_016728625.1
Bacteria	assembly	GCA_016890105.1
Bacteria	assembly	GCA_016904475.1
Bacteria	assembly	GCA_019048345.1
Bacteria	assembly	GCA_020099215.1
Bacteria	assembly	GCA_021183685.1
Bacteria	assembly	GCA_001558755.2
Bacteria	assembly	GCA_002208945.2
Bacteria	assembly	GCA_002951295.1
Bacteria	assembly	GCA_003812245.1
Bacteria	assembly	GCA_008693385.1
Bacteria	assembly	GCA_009730575.1
Bacteria	assembly	GCA_016026635.1
Bacteria	assembly	GCA_016127095.1
Bacteria	assembly	GCA_016599835.1
Bacteria	assembly	GCA_016728645.1
Bacteria	assembly	GCA_016903095.1
Bacteria	assembly	GCA_016904495.1
Bacteria	assembly	GCA_019048365.1
Bacteria	assembly	GCA_020099235.1
Bacteria	assembly	GCA_021183705.1
Bacteria	assembly	GCA_001558775.1
Bacteria	assembly	GCA_002208965.2
Bacteria	assembly	GCA_002951395.1
Bacteria	assembly	GCA_003812305.1
Bacteria	assembly	GCA_008693405.1
Bacteria	assembly	GCA_009732965.1
Bacteria	assembly	GCA_016026675.1
Bacteria	assembly	GCA_016127115.1
Bacteria	assembly	GCA_016724565.1
Bacteria	assembly	GCA_016728665.1
Bacteria	assembly	GCA_016903115.1
Bacteria	assembly	GCA_016904515.1
Bacteria	assembly	GCA_019048385.1
Bacteria	assembly	GCA_020099255.1
Bacteria	assembly	GCA_021183725.1
Bacteria	assembly	GCA_001558795.2
Bacteria	assembly	GCA_002208985.3
Bacteria	assembly	GCA_002951455.1
Bacteria	assembly	GCA_003812325.1
Bacteria	assembly	GCA_008693425.1
Bacteria	assembly	GCA_009734165.1
Bacteria	assembly	GCA_016026695.1
Bacteria	assembly	GCA_016127135.1
Bacteria	assembly	GCA_016724665.1
Bacteria	assembly	GCA_016728685.1
Bacteria	assembly	GCA_016903135.1
Bacteria	assembly	GCA_016904535.1
Bacteria	assembly	GCA_019048405.1
Bacteria	assembly	GCA_020099275.1
Bacteria	assembly	GCA_021183745.1
Bacteria	assembly	GCA_001558815.2
Bacteria	assembly	GCA_002209005.1
Bacteria	assembly	GCA_002951475.1
Bacteria	assembly	GCA_003812345.1
Bacteria	assembly	GCA_008693445.1
Bacteria	assembly	GCA_009806595.1
Bacteria	assembly	GCA_016026715.1
Bacteria	assembly	GCA_016127155.1
Bacteria	assembly	GCA_016724785.1
Bacteria	assembly	GCA_016728705.1
Bacteria	assembly	GCA_016903155.1
Bacteria	assembly	GCA_016904555.1
Bacteria	assembly	GCA_019048425.1
Bacteria	assembly	GCA_020099295.1
Bacteria	assembly	GCA_021183765.1
Bacteria	assembly	GCA_001558855.2
Bacteria	assembly	GCA_002209025.1
Bacteria	assembly	GCA_002951635.1
Bacteria	assembly	GCA_003812365.1
Bacteria	assembly	GCA_008693465.1
Bacteria	assembly	GCA_009806615.1
Bacteria	assembly	GCA_016026735.1
Bacteria	assembly	GCA_016127175.1
Bacteria	assembly	GCA_016724805.1
Bacteria	assembly	GCA_016728725.1
Bacteria	assembly	GCA_016903175.1
Bacteria	assembly	GCA_016904575.1
Bacteria	assembly	GCA_019048445.1
Bacteria	assembly	GCA_020099315.1
Bacteria	assembly	GCA_021183785.1
Bacteria	assembly	GCA_001558875.2
Bacteria	assembly	GCA_002209045.1
Bacteria	assembly	GCA_002953295.1
Bacteria	assembly	GCA_003812385.1
Bacteria	assembly	GCA_008693485.1
Bacteria	assembly	GCA_009806635.1
Bacteria	assembly	GCA_016026755.1
Bacteria	assembly	GCA_016127195.1
Bacteria	assembly	GCA_016724825.1
Bacteria	assembly	GCA_016728745.1
Bacteria	assembly	GCA_016903195.1
Bacteria	assembly	GCA_016904595.1
Bacteria	assembly	GCA_019048465.1
Bacteria	assembly	GCA_020099335.1
Bacteria	assembly	GCA_021183805.1
Bacteria	assembly	GCA_001558895.2
Bacteria	assembly	GCA_002209065.1
Bacteria	assembly	GCA_002953335.1
Bacteria	assembly	GCA_003812405.1
Bacteria	assembly	GCA_008693505.1
Bacteria	assembly	GCA_009806655.1
Bacteria	assembly	GCA_016026835.1
Bacteria	assembly	GCA_016127215.1
Bacteria	assembly	GCA_016724845.1
Bacteria	assembly	GCA_016728765.1
Bacteria	assembly	GCA_016903215.1
Bacteria	assembly	GCA_016904615.1
Bacteria	assembly	GCA_019048485.1
Bacteria	assembly	GCA_020099355.1
Bacteria	assembly	GCA_022213445.1
Bacteria	assembly	GCA_001558915.2
Bacteria	assembly	GCA_002209085.2
Bacteria	assembly	GCA_002953355.1
Bacteria	assembly	GCA_003812425.1
Bacteria	assembly	GCA_008693525.1
Bacteria	assembly	GCA_009806675.1
Bacteria	assembly	GCA_016026855.1
Bacteria	assembly	GCA_016127235.1
Bacteria	assembly	GCA_016724865.1
Bacteria	assembly	GCA_016728785.1
Bacteria	assembly	GCA_016903235.1
Bacteria	assembly	GCA_016904635.1
Bacteria	assembly	GCA_019048505.1
Bacteria	assembly	GCA_020099375.1
Bacteria	assembly	GCA_001558935.2
Bacteria	assembly	GCA_002209105.2
Bacteria	assembly	GCA_002953375.1
Bacteria	assembly	GCA_003812445.1
Bacteria	assembly	GCA_008693545.1
Bacteria	assembly	GCA_009806695.1
Bacteria	assembly	GCA_016026875.1
Bacteria	assembly	GCA_016127255.1
Bacteria	assembly	GCA_016724885.1
Bacteria	assembly	GCA_016728805.1
Bacteria	assembly	GCA_016903255.1
Bacteria	assembly	GCA_016904655.1
Bacteria	assembly	GCA_019048525.1
Bacteria	assembly	GCA_020149725.1
Bacteria	assembly	GCA_001559035.2
Bacteria	assembly	GCA_002209125.2
Bacteria	assembly	GCA_002953395.1
Bacteria	assembly	GCA_003812465.1
Bacteria	assembly	GCA_008693565.1
Bacteria	assembly	GCA_012273555.1
Bacteria	assembly	GCA_016026895.1
Bacteria	assembly	GCA_016127275.1
Bacteria	assembly	GCA_016725005.1
Bacteria	assembly	GCA_016728825.1
Bacteria	assembly	GCA_016903275.1
Bacteria	assembly	GCA_016906185.1
Bacteria	assembly	GCA_019048545.1
Bacteria	assembly	GCA_020221755.1
Bacteria	assembly	GCA_001559055.2
Bacteria	assembly	GCA_002209145.2
Bacteria	assembly	GCA_002953515.1
Bacteria	assembly	GCA_003812505.1
Bacteria	assembly	GCA_008693585.1
Bacteria	assembly	GCA_012273615.1
Bacteria	assembly	GCA_016026915.1
Bacteria	assembly	GCA_016127295.1
Bacteria	assembly	GCA_016725165.1
Bacteria	assembly	GCA_016888885.1
Bacteria	assembly	GCA_016903295.1
Bacteria	assembly	GCA_016906205.1
Bacteria	assembly	GCA_019048565.1
Bacteria	assembly	GCA_020450285.1
Bacteria	assembly	GCA_001559075.2
Bacteria	assembly	GCA_002209165.2
Bacteria	assembly	GCA_002953535.1
Bacteria	assembly	GCA_003812525.1
Bacteria	assembly	GCA_008693605.1
Bacteria	assembly	GCA_013267235.1
Bacteria	assembly	GCA_016026975.1
Bacteria	assembly	GCA_016127315.1
Bacteria	assembly	GCA_016725185.1
Bacteria	assembly	GCA_016888905.1
Bacteria	assembly	GCA_016903315.1
Bacteria	assembly	GCA_016906225.1
Bacteria	assembly	GCA_019048585.1
Bacteria	assembly	GCA_020735285.1
Mycobacteria	assembly	GCA_000007865
Mycobacteria	assembly	GCA_000234725.1
Mycobacteria	assembly	GCA_001544815.1
Mycobacteria	assembly	GCA_002356335.1
Mycobacteria	assembly	GCA_009741445
Mycobacteria	assembly	GCA_010726955.1
Mycobacteria	assembly	GCA_010729105.1
Mycobacteria	assembly	GCA_010731115.1
Mycobacteria	assembly	GCA_010731735.1
Mycobacteria	assembly	GCA_014295435.1
Mycobacteria	assembly	GCA_017086405.1
Mycobacteria	assembly	GCA_020736005.1
Mycobacteria	assembly	GCA_022430545.2
Mycobacteria	assembly	GCA_900603025.1
Mycobacteria	assembly	GCA_000009445.1
Mycobacteria	assembly	GCA_000253355.1
Mycobacteria	assembly	GCA_001580385.1
Mycobacteria	assembly	GCA_003253775.1
Mycobacteria	assembly	GCA_009936235.1
Mycobacteria	assembly	GCA_010727325.1
Mycobacteria	assembly	GCA_010729305.1
Mycobacteria	assembly	GCA_010731295.1
Mycobacteria	assembly	GCA_010731755.1
Mycobacteria	assembly	GCA_015265495.1
Mycobacteria	assembly	GCA_018278905.1
Mycobacteria	assembly	GCA_021183725.1
Mycobacteria	assembly	GCA_022558565.1
Mycobacteria	assembly	GCA_900637135.1
Mycobacteria	assembly	GCA_000015305.1
Mycobacteria	assembly	GCA_000253375.1
Mycobacteria	assembly	GCA_001583415.1
Mycobacteria	assembly	GCA_003390495.1
Mycobacteria	assembly	GCA_010725485.1
Mycobacteria	assembly	GCA_010727475.1
Mycobacteria	assembly	GCA_010729485.1
Mycobacteria	assembly	GCA_010731535.1
Mycobacteria	assembly	GCA_010731775.1
Mycobacteria	assembly	GCA_015482805.1
Mycobacteria	assembly	GCA_018363015.1
Mycobacteria	assembly	GCA_022175585.1
Mycobacteria	assembly	GCA_024584685.1
Mycobacteria	assembly	GCA_900637195.1
Mycobacteria	assembly	GCA_000069185.1
Mycobacteria	assembly	GCA_000266905.1
Mycobacteria	assembly	GCA_001632805.1
Mycobacteria	assembly	GCA_003584745.1
Mycobacteria	assembly	GCA_010725725.1
Mycobacteria	assembly	GCA_010727605.1
Mycobacteria	assembly	GCA_010729665.1
Mycobacteria	assembly	GCA_010731575.1
Mycobacteria	assembly	GCA_010731795.1
Mycobacteria	assembly	GCA_015689175.1
Mycobacteria	assembly	GCA_019456655.1
Mycobacteria	assembly	GCA_022179545.1
Mycobacteria	assembly	GCA_025215495.1
Mycobacteria	assembly	GCA_900637205.1
Mycobacteria	assembly	GCA_000157895.2
Mycobacteria	assembly	GCA_000338715.2
Mycobacteria	assembly	GCA_001655245.1
Mycobacteria	assembly	GCA_003609715.1
Mycobacteria	assembly	GCA_010725885.1
Mycobacteria	assembly	GCA_010727945.1
Mycobacteria	assembly	GCA_010729895.1
Mycobacteria	assembly	GCA_010731595.1
Mycobacteria	assembly	GCA_010731815.2
Mycobacteria	assembly	GCA_015710575.2
Mycobacteria	assembly	GCA_019456675.1
Mycobacteria	assembly	GCA_022370635.3
Mycobacteria	assembly	GCA_028752235.1
Mycobacteria	assembly	GCF_001605725.1
Mycobacteria	assembly	GCA_000184435.1
Mycobacteria	assembly	GCA_000340435.3
Mycobacteria	assembly	GCA_002105755.1
Mycobacteria	assembly	GCA_003614435.1
Mycobacteria	assembly	GCA_010726085.1
Mycobacteria	assembly	GCA_010728155.1
Mycobacteria	assembly	GCA_010730055.1
Mycobacteria	assembly	GCA_010731615.1
Mycobacteria	assembly	GCA_010731855.1
Mycobacteria	assembly	GCA_016313185.1
Mycobacteria	assembly	GCA_019645815.1
Mycobacteria	assembly	GCA_022370755.2
Mycobacteria	assembly	GCA_029854255.1
Mycobacteria	assembly	GCF_002356335.1
Mycobacteria	assembly	GCA_000194075.3
Mycobacteria	assembly	GCA_000723425.2
Mycobacteria	assembly	GCA_002157835.1
Mycobacteria	assembly	GCA_003855255.1
Mycobacteria	assembly	GCA_010726245.1
Mycobacteria	assembly	GCA_010728325.1
Mycobacteria	assembly	GCA_010730195.1
Mycobacteria	assembly	GCA_010731635.1
Mycobacteria	assembly	GCA_010731875.1
Mycobacteria	assembly	GCA_016756055.1
Mycobacteria	assembly	GCA_019645855.1
Mycobacteria	assembly	GCA_022370835.2
Mycobacteria	assembly	GCA_900108565.1
Mycobacteria	assembly	GCF_004924335.1
Mycobacteria	assembly	GCA_000195835.3
Mycobacteria	assembly	GCA_000975265.2
Mycobacteria	assembly	GCA_002285715.1
Mycobacteria	assembly	GCA_005156105.1
Mycobacteria	assembly	GCA_010726505.1
Mycobacteria	assembly	GCA_010728525.1
Mycobacteria	assembly	GCA_010730355.1
Mycobacteria	assembly	GCA_010731655.1
Mycobacteria	assembly	GCA_010731895.1
Mycobacteria	assembly	GCA_016861545.1
Mycobacteria	assembly	GCA_019645875.1
Mycobacteria	assembly	GCA_022374875.3
Mycobacteria	assembly	GCA_900187065.1
Mycobacteria	assembly	GCF_010731835.1
Mycobacteria	assembly	GCA_000195955.2
Mycobacteria	assembly	GCA_001274555.1
Mycobacteria	assembly	GCA_002291465.1
Mycobacteria	assembly	GCA_005670685.2
Mycobacteria	assembly	GCA_010726645.1
Mycobacteria	assembly	GCA_010728725.1
Mycobacteria	assembly	GCA_010730575.1
Mycobacteria	assembly	GCA_010731695.1
Mycobacteria	assembly	GCA_013349145.1
Mycobacteria	assembly	GCA_016919345.1
Mycobacteria	assembly	GCA_019739075.1
Mycobacteria	assembly	GCA_022374895.2
Mycobacteria	assembly	GCA_900187145.1
Mycobacteria	assembly	GCF_013466425.1
Mycobacteria	assembly	GCA_000214155.1
Mycobacteria	assembly	GCA_001456355.1
Mycobacteria	assembly	GCA_002356315.1
Mycobacteria	assembly	GCA_008329645.1
Mycobacteria	assembly	GCA_010726765.1
Mycobacteria	assembly	GCA_010728925.1
Mycobacteria	assembly	GCA_010730745.1
Mycobacteria	assembly	GCA_010731715.1
Mycobacteria	assembly	GCA_013466425.1
Mycobacteria	assembly	GCA_016919645.1
Mycobacteria	assembly	GCA_020616615.1
Mycobacteria	assembly	GCA_022374935.2
Mycobacteria	assembly	GCA_900292015.1
Mycobacteria	assembly	GCF_019668465.1
