dataset	type	accession
Bacteria	assembly	GCA_016725645.1
Bacteria	assembly	GCA_016889085.1
Bacteria	assembly	GCA_016903495.1
Bacteria	assembly	GCA_019046985.1
Bacteria	assembly	GCA_019048805.1
Bacteria	assembly	GCA_020735505.1
Bacteria	assembly	GCA_000783875.2
Bacteria	assembly	GCA_002073235.2
Bacteria	assembly	GCA_002386205.1
Bacteria	assembly	GCA_002983865.1
Bacteria	assembly	GCA_003812725.1
Bacteria	assembly	GCA_008693805.1
Bacteria	assembly	GCA_013267435.1
Bacteria	assembly	GCA_016027375.1
Bacteria	assembly	GCA_016127515.1
Bacteria	assembly	GCA_016725825.1
Bacteria	assembly	GCA_016889105.1
Bacteria	assembly	GCA_016903515.1
Bacteria	assembly	GCA_019047005.1
Bacteria	assembly	GCA_019056115.1
Bacteria	assembly	GCA_020735525.1
Bacteria	assembly	GCA_000783915.2
Bacteria	assembly	GCA_002073255.2
Bacteria	assembly	GCA_002386245.1
Bacteria	assembly	GCA_002983965.1
Bacteria	assembly	GCA_003812745.1
Bacteria	assembly	GCA_008693825.1
Bacteria	assembly	GCA_013267455.1
Bacteria	assembly	GCA_016027415.1
Bacteria	assembly	GCA_016127535.1
Bacteria	assembly	GCA_016725865.1
Bacteria	assembly	GCA_016889125.1
Bacteria	assembly	GCA_016903535.1
Bacteria	assembly	GCA_019047025.1
Bacteria	assembly	GCA_019930605.1
Bacteria	assembly	GCA_020735545.1
Bacteria	assembly	GCA_000783935.2
Bacteria	assembly	GCA_002073275.2
Bacteria	assembly	GCA_002386265.1
Bacteria	assembly	GCA_002984035.1
Bacteria	assembly	GCA_003812765.1
Bacteria	assembly	GCA_008693845.1
Bacteria	assembly	GCA_013267475.1
Bacteria	assembly	GCA_016027435.1
Bacteria	assembly	GCA_016127555.1
Bacteria	assembly	GCA_016725905.1
Bacteria	assembly	GCA_016889145.1
Bacteria	assembly	GCA_016903555.1
Bacteria	assembly	GCA_019047045.1
Bacteria	assembly	GCA_019930625.1
Bacteria	assembly	GCA_020735565.1
Bacteria	assembly	GCA_000783955.2
Bacteria	assembly	GCA_002073295.2
Bacteria	assembly	GCA_002386285.1
Bacteria	assembly	GCA_002984125.1
Bacteria	assembly	GCA_003812785.1
Bacteria	assembly	GCA_008693865.1
Bacteria	assembly	GCA_013267495.1
Bacteria	assembly	GCA_016027455.1
Bacteria	assembly	GCA_016127575.1
Bacteria	assembly	GCA_016725925.1
Bacteria	assembly	GCA_016889165.1
Bacteria	assembly	GCA_016903575.1
Bacteria	assembly	GCA_019047065.1
Bacteria	assembly	GCA_019930645.1
Bacteria	assembly	GCA_020735585.1
Bacteria	assembly	GCA_000783995.2
Bacteria	assembly	GCA_002073315.2
Bacteria	assembly	GCA_002386305.1
Bacteria	assembly	GCA_002984195.1
